=== CONDUCTOR PLAN PROGRESSION (120k→800k session, 70k budget, my-customize-conductor) ===
Each line: plan #N: X folds, Y groups
Stable group count (1) = one rollover group replayed per turn
Growing fold count = new blocks folded as context grows
No restores = frozen prefix respected (the fix)

Accordion connected (1 attached)
plan #568: 17 folds, 1 groups (logged, not applied)
plan #569: 17 folds, 1 groups (logged, not applied)
plan #570: 17 folds, 1 groups (logged, not applied)
plan #571: 17 folds, 1 groups (logged, not applied)
plan #572: 17 folds, 1 groups (logged, not applied)
plan #573: 18 folds, 1 groups (logged, not applied)
plan #574: 18 folds, 1 groups (logged, not applied)
plan #575: 18 folds, 1 groups (logged, not applied)
plan #576: 18 folds, 1 groups (logged, not applied)
plan #577: 18 folds, 1 groups (logged, not applied)
plan #578: 18 folds, 1 groups (logged, not applied)
plan #579: 18 folds, 1 groups (logged, not applied)
plan #580: 19 folds, 1 groups (logged, not applied)
plan #581: 19 folds, 1 groups (logged, not applied)
plan #582: 19 folds, 1 groups (logged, not applied)
plan #583: 19 folds, 1 groups (logged, not applied)
plan #584: 19 folds, 1 groups (logged, not applied)
plan #585: 19 folds, 1 groups (logged, not applied)
plan #586: 19 folds, 1 groups (logged, not applied)
plan #587: 19 folds, 1 groups (logged, not applied)
plan #588: 20 folds, 1 groups (logged, not applied)
plan #589: 20 folds, 1 groups (logged, not applied)
plan #590: 20 folds, 1 groups (logged, not applied)
plan #591: 20 folds, 1 groups (logged, not applied)
plan #592: 20 folds, 1 groups (logged, not applied)
plan #593: 20 folds, 1 groups (logged, not applied)
plan #594: 20 folds, 1 groups (logged, not applied)
plan #595: 21 folds, 1 groups (logged, not applied)
plan #596: 21 folds, 1 groups (logged, not applied)
plan #597: 21 folds, 1 groups (logged, not applied)
plan #598: 21 folds, 1 groups (logged, not applied)
plan #599: 21 folds, 1 groups (logged, not applied)
plan #600: 21 folds, 1 groups (logged, not applied)
plan #601: 21 folds, 1 groups (logged, not applied)
plan #602: 21 folds, 1 groups (logged, not applied)
plan #603: 21 folds, 1 groups (logged, not applied)
plan #604: 21 folds, 1 groups (logged, not applied)
plan #605: 21 folds, 1 groups (logged, not applied)
plan #606: 21 folds, 1 groups (logged, not applied)
plan #607: 22 folds, 1 groups (logged, not applied)
plan #608: 22 folds, 1 groups (logged, not applied)
plan #609: 22 folds, 1 groups (logged, not applied)
plan #610: 22 folds, 1 groups (logged, not applied)
plan #611: 22 folds, 1 groups (logged, not applied)
plan #612: 22 folds, 1 groups (logged, not applied)
plan #613: 23 folds, 1 groups (logged, not applied)
plan #614: 23 folds, 1 groups (logged, not applied)
plan #615: 23 folds, 1 groups (logged, not applied)
plan #616: 23 folds, 1 groups (logged, not applied)
plan #617: 23 folds, 1 groups (logged, not applied)
plan #618: 24 folds, 1 groups (logged, not applied)
plan #619: 24 folds, 1 groups (logged, not applied)
plan #620: 24 folds, 1 groups (logged, not applied)
plan #621: 24 folds, 1 groups (logged, not applied)
plan #622: 24 folds, 1 groups (logged, not applied)
plan #623: 24 folds, 1 groups (logged, not applied)
plan #624: 24 folds, 1 groups (logged, not applied)
plan #625: 24 folds, 1 groups (logged, not applied)
plan #626: 24 folds, 1 groups (logged, not applied)
plan #627: 24 folds, 1 groups (logged, not applied)
plan #628: 24 folds, 1 groups (logged, not applied)
plan #629: 24 folds, 1 groups (logged, not applied)
plan #630: 24 folds, 1 groups (logged, not applied)
plan #631: 25 folds, 1 groups (logged, not applied)
plan #632: 25 folds, 1 groups (logged, not applied)
plan #633: 25 folds, 1 groups (logged, not applied)
plan #634: 25 folds, 1 groups (logged, not applied)
plan #635: 25 folds, 1 groups (logged, not applied)
plan #636: 25 folds, 1 groups (logged, not applied)
plan #637: 25 folds, 1 groups (logged, not applied)
plan #638: 26 folds, 1 groups (logged, not applied)
plan #639: 27 folds, 1 groups (logged, not applied)
plan #640: 27 folds, 1 groups (logged, not applied)
plan #641: 27 folds, 1 groups (logged, not applied)
plan #642: 27 folds, 1 groups (logged, not applied)
plan #643: 27 folds, 1 groups (logged, not applied)
plan #644: 28 folds, 1 groups (logged, not applied)
plan #645: 29 folds, 1 groups (logged, not applied)
plan #646: 29 folds, 1 groups (logged, not applied)
plan #647: 29 folds, 1 groups (logged, not applied)
plan #648: 29 folds, 1 groups (logged, not applied)
plan #649: 29 folds, 1 groups (logged, not applied)
plan #650: 29 folds, 1 groups (logged, not applied)
plan #651: 29 folds, 1 groups (logged, not applied)
plan #652: 29 folds, 1 groups (logged, not applied)
plan #653: 29 folds, 1 groups (logged, not applied)
plan #654: 29 folds, 1 groups (logged, not applied)
plan #655: 29 folds, 1 groups (logged, not applied)
plan #656: 29 folds, 1 groups (logged, not applied)
plan #657: 29 folds, 1 groups (logged, not applied)
plan #658: 29 folds, 1 groups (logged, not applied)
plan #659: 29 folds, 1 groups (logged, not applied)
plan #660: 29 folds, 1 groups (logged, not applied)
plan #661: 29 folds, 1 groups (logged, not applied)
plan #662: 29 folds, 1 groups (logged, not applied)
plan #663: 30 folds, 1 groups (logged, not applied)
plan #664: 30 folds, 1 groups (logged, not applied)
plan #665: 30 folds, 1 groups (logged, not applied)
plan #666: 31 folds, 1 groups (logged, not applied)
plan #667: 31 folds, 1 groups (logged, not applied)
